"","ensgene","name","module","mm"
"291","uc001bpn.3","uc001bpn.3","darkgrey",0.373031858491088
"292","uc001bpq.3","uc001bpq.3","steelblue",0.471724699489341
"293","uc001bpr.3","uc001bpr.3","yellowgreen",0.296905828290616
"294","uc001bps.3","uc001bps.3","purple",0.142236459365121
"295","uc001bpt.4","uc001bpt.4","skyblue",0.217657439081891
"296","uc001bpx.3","uc001bpx.3","salmon",0.13891567374324
"297","uc001bqd.3","uc001bqd.3","darkturquoise",0.249680356482424
"298","uc001bqh.4","uc001bqh.4","skyblue",0.117626957408363
"299","uc001bqi.3","uc001bqi.3","plum1",0.192449389398505
"300","uc001bqm.3","uc001bqm.3","paleturquoise",0.257665936618248
"301","uc001bqq.1","uc001bqq.1","yellow",0.940409496347548
"302","uc001bqy.3","uc001bqy.3","magenta",0.116136217315454
"303","uc009vtj.1","uc009vtj.1","blue",0.875577319237998
"304","uc001bra.3","uc001bra.3","orangered4",0.220980883828808
"305","uc021okf.1","uc021okf.1","saddlebrown",0.136733331906506
"306","uc001brf.1","uc001brf.1","white",0.204558286403084
"307","uc001brk.3","uc001brk.3","midnightblue",0.16473596790842
"308","uc001bro.3","uc001bro.3","darkgrey",0.534292258231131
"309","uc001bru.3","uc001bru.3","lightcyan",0.320730667404667
"310","uc001bsc.2","uc001bsc.2","red",0.912975863700488
"311","uc001bse.2","uc001bse.2","black",0.447855205700396
"312","uc001bsf.1","uc001bsf.1","darkturquoise",0.0866981361776451
"313","uc021okk.1","uc021okk.1","salmon",0.236302205714509
"314","uc001bso.3","uc001bso.3","turquoise",0.162964686771307
"315","uc001bsp.1","uc001bsp.1","violet",0.16406692325776
"316","uc001bss.1","uc001bss.1","darkgreen",0.266291657121004
"317","uc001bsy.1","uc001bsy.1","magenta",0.150209610283784
"318","uc021oko.1","uc021oko.1","turquoise",0.139519252610331
"319","uc021okp.1","uc021okp.1","skyblue",0.121052730043267
"320","uc001btj.1","uc001btj.1","lightgreen",0.453401169434456
"321","uc010ogo.2","uc010ogo.2","saddlebrown",0.166870214640074
"322","uc001btw.1","uc001btw.1","skyblue",0.13832796116547
"323","uc001btx.2","uc001btx.2","royalblue",0.347469490764841
"324","uc001bub.4","uc001bub.4","turquoise",0.346305644294878
"325","uc010ogu.1","uc010ogu.1","greenyellow",0.164625921384579
"326","uc001bug.3","uc001bug.3","turquoise",0.125484974457765
"327","uc001bui.3","uc001bui.3","yellow",0.124075837162764
"328","uc001buj.3","uc001buj.3","orange",0.132796829864228
"329","uc001bul.1","uc001bul.1","yellowgreen",0.138920182805548
"330","uc010ogz.1","uc010ogz.1","saddlebrown",0.0998510707838957
"331","uc001buo.3","uc001buo.3","skyblue",0.264788986863706
